od,ppm,source
0.0,0.0,placeholder-synthetic-v1
0.02,0.371,placeholder-synthetic-v1
0.04,0.748,placeholder-synthetic-v1
0.06,1.129,placeholder-synthetic-v1
0.08,1.515,placeholder-synthetic-v1
0.1,1.906,placeholder-synthetic-v1
0.12,2.302,placeholder-synthetic-v1
0.14,2.703,placeholder-synthetic-v1
0.16,3.109,placeholder-synthetic-v1
0.18,3.519,placeholder-synthetic-v1
0.2,3.935,placeholder-synthetic-v1
0.22,4.355,placeholder-synthetic-v1
0.24,4.781,placeholder-synthetic-v1
0.26,5.211,placeholder-synthetic-v1
0.28,5.646,placeholder-synthetic-v1
0.3,6.086,placeholder-synthetic-v1
0.32,6.531,placeholder-synthetic-v1
0.34,6.98,placeholder-synthetic-v1
0.36,7.435,placeholder-synthetic-v1
0.38,7.895,placeholder-synthetic-v1
0.4,8.359,placeholder-synthetic-v1
0.42,8.829,placeholder-synthetic-v1
0.44,9.303,placeholder-synthetic-v1
0.46,9.782,placeholder-synthetic-v1
0.48,10.266,placeholder-synthetic-v1
0.5,10.755,placeholder-synthetic-v1
0.55,11.999,placeholder-synthetic-v1
0.65,14.578,placeholder-synthetic-v1
0.75,17.28,placeholder-synthetic-v1
0.85,20.104,placeholder-synthetic-v1
0.95,23.051,placeholder-synthetic-v1
1.05,26.12,placeholder-synthetic-v1
1.15,29.311,placeholder-synthetic-v1
1.25,32.625,placeholder-synthetic-v1
1.35,36.061,placeholder-synthetic-v1
1.45,39.62,placeholder-synthetic-v1
1.55,43.301,placeholder-synthetic-v1
1.65,47.104,placeholder-synthetic-v1
1.75,51.03,placeholder-synthetic-v1
1.85,55.078,placeholder-synthetic-v1
1.95,59.249,placeholder-synthetic-v1
2.05,63.542,placeholder-synthetic-v1
2.15,67.957,placeholder-synthetic-v1
2.25,72.495,placeholder-synthetic-v1
2.35,77.155,placeholder-synthetic-v1
2.45,81.938,placeholder-synthetic-v1
2.55,86.843,placeholder-synthetic-v1
2.65,91.87,placeholder-synthetic-v1
2.75,97.02,placeholder-synthetic-v1
2.85,102.292,placeholder-synthetic-v1
2.95,107.687,placeholder-synthetic-v1
3.05,113.204,placeholder-synthetic-v1
3.15,118.843,placeholder-synthetic-v1
3.25,124.605,placeholder-synthetic-v1
3.35,130.489,placeholder-synthetic-v1
3.45,136.496,placeholder-synthetic-v1
3.55,142.625,placeholder-synthetic-v1
3.65,148.876,placeholder-synthetic-v1
3.75,155.25,placeholder-synthetic-v1
3.85,161.746,placeholder-synthetic-v1
3.95,168.365,placeholder-synthetic-v1
4.05,175.106,placeholder-synthetic-v1
4.15,181.969,placeholder-synthetic-v1
4.25,188.955,placeholder-synthetic-v1
4.35,196.063,placeholder-synthetic-v1
4.45,203.294,placeholder-synthetic-v1
4.55,210.647,placeholder-synthetic-v1
4.65,218.122,placeholder-synthetic-v1
4.75,225.72,placeholder-synthetic-v1
4.85,233.44,placeholder-synthetic-v1
4.95,241.283,placeholder-synthetic-v1
